City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,hithadhoo,-0.6,73.0833,27.74,73,62,3.68,MV,1680406977
84,atuona,-9.8,-139.0333,27.12,76,10,5.32,PF,1680406977
85,ribeira grande,38.5167,-28.7,16.54,77,39,12.52,PT,1680406977
86,ushuaia,-54.8,-68.3,4.81,75,20,3.6,AR,1680406978
87,bambous virieux,-20.3428,57.7575,26.23,83,40,0.0,MU,1680406978
88,saskylakh,71.9167,114.0833,-5.97,87,95,7.05,RU,1680406978
89,kavieng,-2.5744,150.7967,28.0,74,95,1.64,PG,1680406979
90,margate,51.3813,1.3862,7.17,86,100,4.92,GB,1680406979
91,lebu,-37.6167,-73.65,13.39,93,95,4.62,CL,1680406979
92,arlit,18.7369,7.3853,21.09,7,67,3.43,NE,1680406979
93,dryden,49.7833,-92.7503,-0.84,37,100,2.57,CA,1680406979
94,mehamn,71.0357,27.8492,-2.05,93,100,3.6,NO,1680406979
95,bathsheba,13.2167,-59.5167,26.34,73,40,11.32,BB,1680406980
96,katsuura,35.1333,140.3,14.4,75,100,8.04,JP,1680406980
97,provideniya,64.3833,-173.3,-9.98,87,62,3.51,RU,1680406980
98,neiafu,-18.65,-173.9833,28.38,78,40,4.63,TO,1680406981
99,shebalino,51.2917,85.6772,-9.09,60,43,1.65,RU,1680406981
100,muroto,33.2833,134.15,18.26,58,100,9.46,JP,1680406981
101,khilok,51.3674,110.4676,-7.39,76,100,3.47,RU,1680406982
102,kyshtovka,56.555,76.6271,-4.54,76,32,5.29,RU,1680406982
103,grand gaube,-20.0064,57.6608,26.32,76,36,0.45,MU,1680406982
104,aklavik,68.2191,-135.0107,-19.44,100,92,1.42,CA,1680406983
105,vila franca do campo,37.7167,-25.4333,17.23,95,100,6.91,PT,1680406984
106,rawson,-43.3002,-65.1023,18.16,29,0,5.14,AR,1680406984
107,torbay,47.6666,-52.7314,0.32,92,100,8.23,CA,1680406985
108,yermakovskoye,53.2831,92.4003,-7.47,61,42,1.29,RU,1680406985
109,kodiak,57.79,-152.4072,3.73,45,0,6.69,US,1680406986
110,puerto escondido,15.85,-97.0667,28.46,69,40,1.54,MX,1680406986
111,mayo,38.8876,-76.5119,10.55,55,40,8.75,US,1680406987
112,bonavista,48.6499,-53.1147,-1.07,86,100,7.86,CA,1680406987
113,port alfred,-33.5906,26.891,18.99,92,5,5.61,ZA,1680406988
114,port elizabeth,-33.918,25.5701,13.16,100,40,0.0,ZA,1680406988
115,quatre cocos,-20.2078,57.7625,26.16,77,66,4.4,MU,1680406989
116,saint-georges,12.0564,-61.7485,26.82,74,75,7.2,GD,1680406769
117,roald,62.5833,6.1333,2.09,69,28,3.09,NO,1680406990
118,oussouye,12.485,-16.5469,21.77,87,4,2.74,SN,1680406990
119,lao cai,22.4833,103.95,31.27,45,53,1.15,VN,1680406991
120,bandarbeyla,9.4942,50.8122,27.26,70,95,2.25,SO,1680406992
121,arica,-18.475,-70.3042,24.75,73,0,0.0,CL,1680406772
122,berdigestyakh,62.0989,126.6992,-11.08,80,87,4.37,RU,1680406992
123,kahului,20.8947,-156.47,26.01,68,20,6.17,US,1680406993
124,bengkulu,-3.8004,102.2655,28.21,65,96,2.62,ID,1680406993
125,madisonville,37.3281,-87.4989,6.23,74,5,2.18,US,1680406993
126,zatoka,46.0725,30.4654,7.8,97,100,7.71,UA,1680406994
127,stara vyzhivka,51.4376,24.44,7.28,97,100,2.38,UA,1680406994
128,isfana,39.8386,69.5306,11.31,33,83,0.64,KG,1680406994
129,montepuez,-13.1256,38.9997,19.2,98,100,2.28,MZ,1680406994
130,wadi musa,30.3222,35.4793,8.77,52,0,1.73,JO,1680406995
131,galdar,28.147,-15.6502,19.08,76,9,6.26,ES,1680406995
132,lata,40.1629,-8.3327,10.51,96,85,1.56,PT,1680406995
